auto	gold
ku	ku
i	imb
mbi	iw
w	e
e	

ka	kakhulu
khulu	

u	u
i	imb
mbe	e

u	u
ihle	ihl
	e

u	u
ihle	ihl
	e

u	u
ihle	ihl
	e

u	u
i	imb
mbe	e

kude	ku
	de

kuvele	ku
	vel
	e

u	u
donga	donga

kuli	ku
ngana	lingan
	a

u	u
donga	donga

eli	eli
ngak	ngaka
a	

ol	ola
a	

donga	donga

lu	lu
sovel	so
a	vel
	a

uha	u
mba	hamb
	a

ngal	nga
a	la

leveli	leveli

ke	ke

ngo	ngoku
ku	

phantsi	phantsi

kuvele	ku
	vel
	e

ilevel	i
	level

ke	ke

ngo	ngoku
ku	

u	u
bona	bon
	a

njengoba	njengoba

kuli	ku
gc	li
a	gca

ku	ku
kho	kho

i	i
ngc	ngca
a	

kanje	kanje

ndemba	nde
	mb
	a

a	apha
pha	

ndi	ndi
phu	phush
she	e

u	u
mhla	m
ba	hlaba

ndi	ndi
wu	wu
phu	phush
shele	el
	e

nga	nga
pha	pha

ndekhe	nde
	kh
	e

u	u
mhla	m
ba	hlaba

kodeske	kodeske

kuvele	ku
	vel
	e

le	le

nda	ndawo
wo	

eflat	e
	flat

Ku	Ku
soba	so
	ba

flat	flat

phu	phush
she	e

lo	lo

mhla	m
ba	hlaba

Ndi	Ndi
ye	y
	e

kol	ko
a	la

donga	donga

ndi	ndi
ye	y
	e

kol	ko
a	la

donga	donga

ndisemba	ndi
	s
	emb
	a

ngai	nga
peki	i
	peki

u	u
mhla	m
ba	hlaba

ndi	ndi
wu	wu
jul	jul
a	a

nga	nga
pha	pha

deske	deske

kuvele	ku
	vel
	e

i	i
nda	ndawo
wo	

ngo	ngoku
ku	

eflat	e
	flat

ke	ke

ngo	ngoku
ku	

Ibe	I
	be

i	i
yalu	ya
nga	lung
	a

ke	ke

ngo	ngoku
ku	

i	i
ndlu	ndlu

nga	nga
i	i
mpelaveki	mpelaveki

ndi	ndi
zo	zoku
ku	vuk
vuk	a
a	

ekuseni	ekuseni

ndihla	ndi
mbe	hlamb
	e

ndihla	ndi
mbe	hlamb
	e

a	a
bantwana	ba
	ntwana

ba	b
m	am

si	si
tye	ty
	e

i	i
si	si
dlo	dlo

sasekuseni	sa
	se
	kuseni

sihlale	si
	hlal
	e

phandle	phandle

emveni	emveni

koko	koko

ndi	ndi
ngene	ngen
	e

ega	e
di	gad
ni	ini

ndihla	ndi
kule	hlakul
	e

ndi	ndi
phu	phum
me	e

ndi	ndi
phu	phuml
mle	e

endli	e
ni	ndl
	ini

i	i
w	w
e	e

emthi	e
ni	m
	th
	ini

Yo	Yo
phuke	phuk
	e

u	u
mlenze	m
	lenze

Ku	Ku
ye	y
	e

kwa	kwa
fik	fik
a	a

a	a
bantu	ba
	ntu

baza	ba
ku	zaku
mtha	m
tha	thath
	a

Ba	Ba
fike	fik
	e

elil	e
a	lil
	a

Ubeqaqanjelw	Ube
a	qaqanj
	el
	w
	a

ka	kakhulu
khulu	

li	li
i	i
dolo	dolo

elo	elo

anzakele	a
	nzakel
	e

kulo	ku
	lo

Ba	Ba
mtha	m
thile	thath
	ile

ke	ke

ba	ba
goduk	goduk
a	a

naye	na
	ye

