kw	SM.17
enzek	LEX
e	REC.CJ
*	O
i	AUG
ngozi	9.LEX
*	O
ku	LOC
m	NCP.3
gaqw	LEX
ana	DIM
*	O
nje	LEX
*	O
om	AC.3
ncinane	LEX
*	O
ku	SM.17
vel	LEX
e	REC.CJ
*	O
i	AUG
moto	9.LEX
*	O
e	RC.9
bomvu	LEX
*	O
e	SM.IPFV.9
be	LEX.REC.CJ
*	O
i	SM.PRT.9
si	PRT
z	LEX
a	FV
*	O
nga	LOC
se	LOC.COP
ntla	9.LEX
*	O
kunye	LEX
*	O
na	COM
i	AUG
moto	9.LEX
*	O
e	RC.9
luhlaza	LEX
*	O
e	SM.IPFV.9
be	LEX.REC.CJ
*	O
i	SM.PRT.9
si	PRT
z	LEX
a	FV
*	O
nga	LOC
e	LOC
zantsi	3.LEX
*	O
zi	SM.10
y	LEX
e	REC.CJ
*	O
za	SM.PST.10
tshayis	LEX
an	RECP
a	FV
*	O
ke	LEX
*	O
za	SM.PST.10
tsh	LEX
a	FV
*	O
za	SM.PST.10
vuth	LEX
a	FV
*	O
a	AUG
ma	NCP.6
dangatyi	LEX
*	O
kw	SM.17
enzakel	LEX
e	REC.CJ
*	O
a	AUG
ba	NCP.2
ntu	LEX
*	O
a	AUG
ba	AC.2
hlanu	LEX
*	O
ku	LOC
lo	DEM.9.DIST
*	O
ngozi	9.LEX
*	O
si	SM.1PL
y	LEX
e	REC.CJ
*	O
sa	SM.PST.1PL
khawulez	LEX
a	FV
*	O
sa	SM.PST.1PL
fowun	LEX
el	APPL
a	FV
*	O
i	AUG
nqwelo	9.LEX
*	O
ye	AS.9
zi	NCP.8
gulani	LEX
*	O
i	SM.9
ba	OM.2
thath	LEX
ile	REC.DJ
*	O
ke	LEX
*	O
ya	SM.PST.9
ba	OM.2
leq	LEX
is	CAUS
a	FV
*	O
e	LOC
si	NCP.7
bhedlele	LEX
*	O
i	NCP.5
gama	LEX
*	O
la	5
m	POSS.1SG
*	O
ndi	SM.1SG
ngu	COP.1
Nosabelo	1a.LEX
*	O
Futu	LEX
*	O
ndi	SM.1SG
fun	LEX
a	FV
*	O
uku	INF
buza	LEX
*	O
u	AUG
tata	1a.LEX
*	O
malunga	LEX
*	O
na	COM
la	DEM.9.DIST
*	O
mfazwe	9.LEX
*	O
kwa	SM.PST.17
ku	IPFV
si	PRT
lw	LEX
a	FV
*	O
a	AUG
ma	NCP.6
khwenkwe	LEX
*	O
a	AS.6
se	LOC.COP
Nqileni	LEX
*	O
na	COM
a	AUG
ma	NCP.6
khwenkwe	LEX
*	O
a	AS.6
kwa	LOC
Tshezi	LEX
*	O
kwa	SM.PST.17
ku	IPFV.17
nini	LEX
*	O
ngoko	LEX
*	O
tata	1a.LEX
*	O
kwa	SM.PST.17
ku	IPFV.17
kowuphi	LEX
*	O
u	AUG
nyaka	3.LEX
*	O
ku	SM.17
gqibel	LEX
e	REC.CJ
*	O
u	AUG
ku	NCP.15
l	LEX
iw	PASS
a	FV
*	O
ngo	INSTR
198’4’2’1 ’43	LEX
*	O
ngo	INSTR
73	73
*	O
1973	LEX
*	O
kwa	SM.PST.17
ku	IPFV.17
si	PRT
lw	LEX
el	APPL
w	PASS
a	FV
*	O
phi	LEX
*	O
apha	DEM.16.PROX
*	O
e	LOC
si	NCP.7
thub	LEX
eni	LOC
*	O
vele	LEX
*	O
u	SM.2SG
qhubelek	LEX
e	SBJV
*	O
nje	LEX
*	O
vele	LEX
*	O
u	SM.2SG
qhubelek	LEX
e	SBJV
*	O
nje	LEX
*	O
kwa	SM.PST.17
l	LEX
iw	PASS
a	FV
*	O
apha	LEX
*	O
e	LOC
si	NCP.7
thub	LEX
eni	LOC
*	O
i	AUG
nto	9.LEX
*	O
e	RC.9
y	SM.9
enz	LEX
a	FV
*	O
uba	LEX
*	O
ku	SM.17
l	LEX
iw	PASS
e	REC.CJ
*	O
e	LOC
si	NCP.7
thub	LEX
eni	LOC
*	O
kwa	SM.PST.17
suk	LEX
a	FV
*	O
a	AUG
ma	NCP.6
khwenkwe	LEX
*	O
apha	DEM.16.PROX
*	O
a	SM.PST.6
y	LEX
a	FV
*	O
e	LOC
Kop	LEX
*	O
kwa	LOC
Tshezi	LEX
*	O
a	SM.6
yo	IT
sel	LEX
a	FV
*	O
u	AUG
tywala	14.LEX
*	O
a	SM.6
xatyel	PASS\LEX
w	PASS
a	FV
*	O
pha	DEM.16.DIST
*	O
nga	INSTR
a	AUG
ma	NCP.6
khwenkwe	LEX
*	O
a	AS.6
kwa	LOC
Tshezi	LEX
*	O
a	SM.PST.6
buy	LEX
a	FV
*	O
e	RC.6
balek	LEX
a	FV
*	O
pha	DEM.16.DIST
*	O
ku	LOC
sasa	LEX
*	O
ba	SM.2
qul	LEX
a	FV
*	O
o	RC.1
wa	PST.1
lapha	DEM.16.PROX
*	O
kengoku	LEX
*	O
kwa	PST.17
qatyel	PASS\LEX
